"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"shadow",2019,NA,"Action","Crime","Drama",6.6,NA,NA,"Pallance Dladla","Khathu Ramabulana"," Amanda Du-Pont","Tumie Ngumla",885,45,NA,"tv"
"angry birds toons",2013,2018,"Animation","Comedy","Family",6.2,NA,NA,"Antti Pääkkönen","Antti Pääkkönen"," Heljä Heikkinen","Lynne Guaglione",684,3,NA,"tv"
"strange empire",2014,2015,"Drama","Western",NA,6.4,NA,NA,"Cara Gee","Tattiawna Jones"," Melissa Farman","Aaron Poole",1697,60,NA,"tv"
"reboot: the guardian code",2018,NA,"Action","Comedy","Drama",3.8,NA,NA,"Ty Wood","Ajay Friese"," Gabriel Darku","Hannah Vandenbygaart",1130,30,NA,"tv"
"stereo",2014,NA,"Crime","Thriller",NA,6.5,"Maximilian Erlenwein",NA,"Jürgen Vogel","Moritz Bleibtreu"," Petra Schmidt-Schaller","Georg Friedrich",4733,98,NA,"tv"
"still 2gether",2020,NA,"Drama","Romance",NA,7.9,NA,NA,"Metawin Opas-Iamkajorn","Vachirawit Chivaaree"," Chinnarat Siriphongchawalit","Jirakit Kuariyakul",537,NA,NA,"tv"
"kings of america",NA,NA,"Drama",NA,NA,NA,NA,NA,"Star: Amy Adams",NA,NA,NA,NA,NA,NA,"tv"
"the surgeon's cut",2020,NA,"Documentary",NA,NA,8.5,NA,NA,"Star: Lin Gallagher",NA,NA,NA,850,NA,NA,"tv"
"hot date",2017,NA,"Comedy",NA,NA,7.2,NA,NA,"Emily Axford","Brian Murphy"," Carisa Barreca","Travis Turner",574,20,NA,"tv"
"the ghost bride",2020,NA,"Drama",NA,NA,6,NA,NA,"Peijia Huang","Kang Ren Wu"," Ludi Lin","Kuang Tian",607,NA,NA,"tv"
"dragon's lair",NA,NA,"Action","Adventure","Fantasy",NA,NA,NA,"Star: Ryan Reynolds",NA,NA,NA,NA,NA,NA,"tv"
"southcliffe",2013,NA,"Drama","Thriller",NA,7,NA,NA,"Rory Kinnear","Sean Harris"," Shirley Henderson","Anatol Yusef",2702,188,NA,"tv"
"dive club",2021,NA,"Drama","Family","Mystery",7.6,NA,NA,"Miah Madden","Georgia-May Davis"," Sana'a Shaik","Aubri Ibrag",14,NA,NA,"tv"
"fugitiva",2018,NA,"Action","Adventure","Crime",5.7,NA,NA,"Paz Vega","Julio Bracho"," Arantza Ruiz","Luisa Rubino",585,60,NA,"tv"
"colin in black & white",2021,NA,"Biography","Drama","Sport",NA,NA,NA,"Colin Kaepernick","Jaden Michael"," Gabriel Womack","Mace Coronel",NA,NA,NA,"tv"
"puffin rock",2015,2016,"Animation","Family",NA,8.7,NA,NA,"Kate McCafferty","Chris O'Dowd"," Sally McDaid","Geraldine Cole",783,7,NA,"tv"
"home",2014,NA,"Horror",NA,NA,4.8,"Nicholas McCarthy",NA,"Ashley Rickards","Nick Eversman"," Michael Massee","Mark Steger",6949,91,NA,"tv"
"rise of the teenage mutant ninja turtles",2021,NA,"Animation","Action","Adventure",NA,"Andy Suriano","
Ant Ward
","Omar Benson Miller","Brandon Mychal Smith"," Josh Brener","Eric Bauza",NA,NA,NA,"tv"
