"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"masters of the universe: revelation",2021,NA,"Animation","Action","Adventure",5,NA,NA,"Chris Wood","Sarah Michelle Gellar"," Lena Headey","Mark Hamill",17870,25,NA
"the walking dead",2010,2022,"Drama","Horror","Thriller",8.2,NA,NA,"Andrew Lincoln","Norman Reedus"," Melissa McBride","Lauren Cohan",885805,44,NA
"rick and morty",2013,NA,"Animation","Adventure","Comedy",9.2,NA,NA,"Justin Roiland","Chris Parnell"," Spencer Grammer","Sarah Chalke",414849,23,NA
"outer banks",2020,NA,"Action","Crime","Drama",7.6,NA,NA,"Chase Stokes","Madelyn Cline"," Madison Bailey","Jonathan Daviss",25858,50,NA
"dexter",2006,2013,"Crime","Drama","Mystery",8.6,NA,NA,"Michael C. Hall","Jennifer Carpenter"," David Zayas","James Remar",665387,53,NA
"never have i ever",2020,NA,"Comedy",NA,NA,7.9,NA,NA,"Maitreyi Ramakrishnan","Poorna Jagannathan"," Darren Barnet","John McEnroe",34530,30,NA
"virgin river",2019,NA,"Drama","Romance",NA,7.4,NA,NA,"Alexandra Breckenridge","Martin Henderson"," Colin Lawrence","Tim Matheson",27279,44,NA
"lucifer",2016,2021,"Crime","Drama","Fantasy",8.1,NA,NA,"Tom Ellis","Lesley-Ann Brandt"," Lauren German","D.B. Woodside",264222,42,NA
"sex/life",2021,NA,"Comedy","Drama","Romance",5.4,NA,NA,"Sarah Shahi","Mike Vogel"," Adam Demos","Margaret Odette",12172,NA,NA
"american horror story",2011,NA,"Drama","Horror","Thriller",8,NA,NA,"Lady Gaga","Kathy Bates"," Angela Bassett","Sarah Paulson",286488,60,NA
"grey's anatomy",2005,NA,"Drama","Romance",NA,7.5,NA,NA,"Ellen Pompeo","Chandra Wilson"," James Pickens Jr.","Justin Chambers",266258,41,NA
"breaking bad",2008,2013,"Crime","Drama","Thriller",9.4,NA,NA,"Bryan Cranston","Aaron Paul"," Anna Gunn","Betsy Brandt",1552311,49,NA
"the good doctor",2017,NA,"Drama",NA,NA,8.1,NA,NA,"Freddie Highmore","Hill Harper"," Richard Schiff","Antonia Thomas",70871,41,NA
"atypical",2017,2021,"Comedy","Drama",NA,8.3,NA,NA,"Jennifer Jason Leigh","Keir Gilchrist"," Brigette Lundy-Paine","Michael Rapaport",71544,30,NA
"stranger things",2016,NA,"Drama","Fantasy","Horror",8.7,NA,NA,"Millie Bobby Brown","Finn Wolfhard"," Winona Ryder","David Harbour",885856,51,NA
"friends",1994,2004,"Comedy","Romance",NA,8.9,NA,NA,"Jennifer Aniston","Courteney Cox"," Lisa Kudrow","Matt LeBlanc",880918,22,NA
"the flash",2014,NA,"Action","Adventure","Drama",7.6,NA,NA,"Grant Gustin","Candice Patton"," Danielle Panabaker","Carlos Valdes",320264,43,NA
"peaky blinders",2013,NA,"Crime","Drama",NA,8.8,NA,NA,"Cillian Murphy","Paul Anderson"," Helen McCrory","Sophie Rundle",393414,60,NA
"he-man and the masters of the universe",2021,NA,"Animation","Action","Adventure",NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"chernobyl",2021,NA,"Drama","History","Romance",5,"Danila Kozlovskiy",NA,"Danila Kozlovskiy","Oksana Akinshina"," Filipp Avdeev","Ravshana Kurkova",4681,136,NA
"vikings",2013,2020,"Action","Adventure","Drama",8.5,NA,NA,"Katheryn Winnick","Gustaf Skarsgård"," Alexander Ludwig","Georgia Hirst",459913,44,NA
"better call saul",2015,NA,"Crime","Drama",NA,8.8,NA,NA,"Bob Odenkirk","Rhea Seehorn"," Jonathan Banks","Patrick Fabian",347857,46,NA
"supernatural",2005,2020,"Drama","Fantasy","Horror",8.4,NA,NA,"Jared Padalecki","Jensen Ackles"," Jim Beaver","Misha Collins",404273,44,NA
"the blacklist",2013,NA,"Crime","Drama","Mystery",8,NA,NA,"James Spader","Megan Boone"," Diego Klattenhoff","Ryan Eggold",213522,43,NA
"animal kingdom",2016,NA,"Crime","Drama",NA,8.2,NA,NA,"Shawn Hatosy","Ben Robson"," Jake Weary","Finn Cole",26926,60,NA
"brooklyn nine-nine",2013,2022,"Comedy","Crime",NA,8.4,NA,NA,"Andy Samberg","Stephanie Beatriz"," Terry Crews","Melissa Fumero",248583,22,NA
"kingdom",2019,NA,"Action","Drama","History",8.4,NA,NA,"Ju Ji-Hoon","Bae Doona"," Kim Sungkyu","Hye-jun Kim",34906,45,NA
"modern family",2009,2020,"Comedy","Drama","Romance",8.4,NA,NA,"Ed O'Neill","Sofía Vergara"," Julie Bowen","Ty Burrell",378030,22,NA
"titans",2018,NA,"Action","Adventure","Crime",7.7,NA,NA,"Brenton Thwaites","Teagan Croft"," Anna Diop","Ryan Potter",73656,45,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",8.2,NA,NA,"Henry Cavill","Anna Shaffer"," Freya Allan","Adjoa Andoh",336484,60,NA
"downton abbey",2010,2015,"Drama","Romance",NA,8.7,NA,NA,"Hugh Bonneville","Phyllis Logan"," Elizabeth McGovern","Brendan Coyle",171804,58,NA
"suits",2011,2019,"Comedy","Drama",NA,8.4,NA,NA,"Gabriel Macht","Patrick J. Adams"," Meghan Markle","Sarah Rafferty",374263,44,NA
"schitt's creek",2015,2020,"Comedy",NA,NA,8.5,NA,NA,"Eugene Levy","Catherine O'Hara"," Dan Levy","Annie Murphy",90728,22,NA
"outlander",2014,NA,"Drama","Fantasy","Romance",8.4,NA,NA,"Caitriona Balfe","Sam Heughan"," Duncan Lacroix","Sophie Skelton",134991,64,NA
"the last kingdom",2015,NA,"Action","Drama","History",8.4,NA,NA,"Alexander Dreymon","Eliza Butterworth"," Arnas Fedaravicius","Millie Brady",94650,60,NA
"black mirror",2011,NA,"Drama","Sci-Fi","Thriller",8.8,NA,NA,"Daniel Lapaine","Hannah John-Kamen"," Michaela Coel","Beatrice Robertson-Jones",469407,60,NA
"ozark",2017,NA,"Crime","Drama","Thriller",8.4,NA,NA,"Jason Bateman","Laura Linney"," Sofia Hublitz","Skylar Gaertner",206090,60,NA
"the crown",2016,NA,"Biography","Drama","History",8.6,NA,NA,"Claire Foy","Olivia Colman"," Imelda Staunton","Matt Smith",169517,58,NA
"sweet tooth",2021,NA,"Action","Adventure","Drama",7.9,NA,NA,"Nonso Anozie","Christian Convery"," Adeel Akhtar","Stefania LaVie Owen",37142,NA,NA
"fargo",2014,NA,"Crime","Drama","Thriller",8.9,NA,NA,"Billy Bob Thornton","Martin Freeman"," Allison Tolman","Colin Hanks",341221,53,NA
"how i met your mother",2005,2014,"Comedy","Romance",NA,8.3,NA,NA,"Josh Radnor","Jason Segel"," Cobie Smulders","Neil Patrick Harris",624036,22,NA
"community",2009,2015,"Comedy",NA,NA,8.5,NA,NA,"Joel McHale","Danny Pudi"," Donald Glover","Chevy Chase",231013,22,NA
"sons of anarchy",2008,2014,"Crime","Drama","Thriller",8.5,NA,NA,"Charlie Hunnam","Katey Sagal"," Mark Boone Junior","Kim Coates",270445,45,NA
"startup",2016,2018,"Crime","Thriller",NA,7.9,NA,NA,"Adam Brody","Edi Gathegi"," Otmara Marrero","Kristen Ariza",22971,44,NA
"the vampire diaries",2009,2017,"Drama","Fantasy","Horror",7.7,NA,NA,"Nina Dobrev","Paul Wesley"," Ian Somerhalder","Kat Graham",293434,43,NA
"how to sell drugs online (fast)",2019,NA,"Comedy","Crime","Drama",7.9,NA,NA,"Maximilian Mundt","Danilo Kamperidis"," Lena Klenke","Damian Hardung",23960,30,NA
"good girls",2018,2021,"Comedy","Crime","Drama",7.8,NA,NA,"Christina Hendricks","Retta"," Mae Whitman","Reno Wilson",38618,43,NA
"13 reasons why",2017,2020,"Drama","Mystery","Thriller",7.6,NA,NA,"Dylan Minnette","Katherine Langford"," Christian Navarro","Alisha Boe",266386,60,NA
"the queen's gambit",2020,NA,"Drama",NA,NA,8.6,NA,NA,"Anya Taylor-Joy","Chloe Pirrie"," Bill Camp","Marcin Dorocinski",336801,395,NA
"star trek: the next generation",1987,1994,"Action","Adventure","Mystery",8.6,NA,NA,"Patrick Stewart","Brent Spiner"," Jonathan Frakes","LeVar Burton",106181,44,NA
"evil",2019,NA,"Crime","Drama","Horror",7.7,NA,NA,"Katja Herbers","Mike Colter"," Aasif Mandvi","Maddy Crocco",15048,42,NA
"the expanse",2015,NA,"Drama","Mystery","Sci-Fi",8.5,NA,NA,"Wes Chatham","Dominique Tipper"," Steven Strait","Shohreh Aghdashloo",119644,60,NA
"new amsterdam",2018,NA,"Drama",NA,NA,8.1,NA,NA,"Ryan Eggold","Janet Montgomery"," Freema Agyeman","Jocko Sims",27709,43,NA
"line of duty",2012,NA,"Crime","Drama","Mystery",8.7,NA,NA,"Martin Compston","Vicky McClure"," Adrian Dunbar","Craig Parkinson",46751,60,NA
"the 100",2014,2020,"Drama","Mystery","Sci-Fi",7.6,NA,NA,"Eliza Taylor","Bob Morley"," Marie Avgeropoulos","Isaiah Washington",226962,43,NA
"new girl",2011,2018,"Comedy",NA,NA,7.7,NA,NA,"Zooey Deschanel","Jake Johnson"," Max Greenfield","Hannah Simone",200421,22,NA
"prison break",2005,2017,"Action","Crime","Drama",8.3,NA,NA,"Dominic Purcell","Wentworth Miller"," Amaury Nolasco","Robert Knepper",492438,44,NA
"sex education",2019,NA,"Comedy","Drama",NA,8.3,NA,NA,"Asa Butterfield","Gillian Anderson"," Ncuti Gatwa","Emma Mackey",177274,45,NA
"feels like ishq",2021,NA,"Comedy","Drama","Romance",6.6,NA,NA,"Jojo Singh","Mihir Ahuja"," Kajol Chugh","Sumali Khaniwale",848,32,NA
"young royals",2021,NA,"Drama","Romance",NA,8.6,NA,NA,"Edvin Ryding","Omar Rudberg"," Frida Argento","Samuel Astor",16954,50,NA
"shadow and bone",2021,NA,"Action","Adventure","Drama",7.7,NA,NA,"Jessie Mei Li","Ben Barnes"," Archie Renaux","Freddy Carter",60283,NA,NA
"mad men",2007,2015,"Drama",NA,NA,8.6,NA,NA,"Jon Hamm","Elisabeth Moss"," Vincent Kartheiser","January Jones",216203,47,NA
"gilmore girls",2000,2007,"Comedy","Drama",NA,8.1,NA,NA,"Lauren Graham","Alexis Bledel"," Keiko Agena","Scott Patterson",106650,44,NA
"sky rojo",2021,NA,"Action","Adventure","Crime",6.5,NA,NA,"Verónica Sánchez","Miguel Ángel Silvestre"," Asier Etxeandia","Lali Espósito",6940,31,NA
"lupin",2021,NA,"Action","Crime","Drama",7.5,NA,NA,"Omar Sy","Ludivine Sagnier"," Hervé Pierre","Soufiane Guerrab",84428,45,NA
"heartland",2007,NA,"Drama","Family",NA,8.4,NA,NA,"Amber Marshall","Shaun Johnston"," Michelle Morgan","Graham Wardle",11764,45,NA
"family guy",1999,2022,"Animation","Comedy",NA,8.1,NA,NA,"Seth MacFarlane","Alex Borstein"," Seth Green","Mila Kunis",312584,22,NA
"dark",2017,2020,"Crime","Drama","Mystery",8.8,NA,NA,"Louis Hofmann","Karoline Eichhorn"," Lisa Vicari","Maja Schöne",312629,60,NA
"cobra kai",2018,NA,"Action","Comedy","Drama",8.6,NA,NA,"Courtney Henggeler","Mary Mouser"," Tanner Buchanan","Ralph Macchio",122268,30,NA
"kingdom",2019,NA,"Action","Drama","History",7.1,"Seong-hun Kim",NA,"Jun Ji-hyun","Si-ah Kim"," Byeong-eun Park","Kyo-hwan Koo",6388,92,NA
"gotham",2014,2019,"Action","Crime","Drama",7.8,NA,NA,"Ben McKenzie","Jada Pinkett Smith"," Donal Logue","Camren Bicondova",216458,42,NA
"billions",2016,NA,"Drama",NA,NA,8.4,NA,NA,"Paul Giamatti","Damian Lewis"," Maggie Siff","David Costabile",74094,60,NA
"the ice road",2021,NA,"Action","Adventure","Drama",5.6,"Jonathan Hensleigh",NA,"Liam Neeson","Marcus Thomas"," Laurence Fishburne","Amber Midthunder",20561,109,NA
"arrow",2012,2020,"Action","Adventure","Crime",7.5,NA,NA,"Stephen Amell","Katie Cassidy"," David Ramsey","Susanna Thompson",414712,42,NA
"orange is the new black",2013,2019,"Comedy","Crime","Drama",8,NA,NA,"Taylor Schilling","Danielle Brooks"," Taryn Manning","Emma Myles",284554,59,NA
"gossip girl",2007,2012,"Drama","Romance",NA,7.4,NA,NA,"Blake Lively","Leighton Meester"," Penn Badgley","Ed Westwick",159666,42,NA
"bridgerton",2020,NA,"Drama","Romance",NA,7.3,NA,NA,"Phoebe Dynevor","Regé-Jean Page"," Nicola Coughlan","Jonathan Bailey",83944,60,NA
"the kominsky method",2018,2021,"Comedy","Drama",NA,8.2,NA,NA,"Michael Douglas","Sarah Baker"," Graham Rogers","Melissa Tang",33440,30,NA
"homeland",2011,2020,"Crime","Drama","Mystery",8.3,NA,NA,"Claire Danes","Mandy Patinkin"," Damian Lewis","Rupert Friend",322307,55,NA
"riverdale",2017,NA,"Crime","Drama","Mystery",6.8,NA,NA,"K.J. Apa","Lili Reinhart"," Camila Mendes","Cole Sprouse",126112,45,NA
"sherlock",2010,2017,"Crime","Drama","Mystery",9.1,NA,NA,"Benedict Cumberbatch","Martin Freeman"," Una Stubbs","Rupert Graves",839029,88,NA
"queen of the south",2016,2021,"Action","Crime","Drama",8,NA,NA,"Alice Braga","Hemky Madera"," Peter Gadiot","Veronica Falcón",23318,42,NA
"csi: crime scene investigation",2000,2015,"Crime","Drama","Mystery",7.6,NA,NA,"Laurence Fishburne","Marg Helgenberger"," George Eads","Eric Szmanda",78589,60,NA
"the umbrella academy",2019,NA,"Action","Adventure","Comedy",8,NA,NA,"Elliot Page","Tom Hopper"," David Castañeda","Emmy Raver-Lampman",175513,60,NA
"supergirl",2015,2021,"Action","Adventure","Drama",6.2,NA,NA,"Melissa Benoist","Chyler Leigh"," David Harewood","Mehcad Brooks",115373,43,NA
"bojack horseman",2014,2020,"Animation","Comedy","Drama",8.7,NA,NA,"Will Arnett","Amy Sedaris"," Alison Brie","Aaron Paul",124318,25,NA
"i think you should leave with tim robinson",2019,NA,"Comedy",NA,NA,7.8,NA,NA,"Tim Robinson","Sam Richardson"," Patti Harrison","Conner O'Malley",8095,16,NA
"south park",1997,NA,"Animation","Comedy",NA,8.7,NA,NA,"Trey Parker","Matt Stone"," Isaac Hayes","Mona Marshall",340148,22,NA
"once upon a time",2011,2018,"Adventure","Fantasy","Romance",7.7,NA,NA,"Ginnifer Goodwin","Jennifer Morrison"," Lana Parrilla","Robert Carlyle",212616,60,NA
"star trek: discovery",2017,NA,"Action","Adventure","Drama",7.2,NA,NA,"Sonequa Martin-Green","Doug Jones"," Anthony Rapp","Mary Wiseman",101079,60,NA
"teen wolf",2011,2017,"Action","Drama","Fantasy",7.6,NA,NA,"Tyler Posey","Holland Roden"," Dylan O'Brien","Linden Ashby",132950,41,NA
"how to get away with murder",2014,2020,"Crime","Drama","Mystery",8.1,NA,NA,"Viola Davis","Billy Brown"," Jack Falahee","Aja Naomi King",136135,43,NA
"star trek: deep space nine",1993,1999,"Action","Adventure","Drama",8,NA,NA,"Avery Brooks","Rene Auberjonois"," Cirroc Lofton","Alexander Siddig",55687,45,NA
"seinfeld",1989,1998,"Comedy",NA,NA,8.8,NA,NA,"Jerry Seinfeld","Julia Louis-Dreyfus"," Michael Richards","Jason Alexander",264801,22,NA
"hawaii five-0",2010,2020,"Action","Crime","Drama",7.3,NA,NA,"Alex O'Loughlin","Scott Caan"," Taylor Wily","Daniel Dae Kim",68627,42,NA
"good witch",2015,2021,"Comedy","Drama","Fantasy",7.3,NA,NA,"Catherine Bell","Catherine Disher"," James Denton","Kylee Evans",8268,48,NA
"the sinner",2017,NA,"Crime","Drama","Mystery",7.9,NA,NA,"Bill Pullman","Dohn Norwood"," Adam LeFevre","Jessica Biel",96901,45,NA
"arrested development",2003,2019,"Comedy",NA,NA,8.7,NA,NA,"Jason Bateman","Michael Cera"," Portia de Rossi","Will Arnett",284373,22,NA
"you",2018,NA,"Crime","Drama","Romance",7.7,NA,NA,"Penn Badgley","Victoria Pedretti"," Ambyr Childers","Elizabeth Lail",157666,45,NA
"mindhunter",2017,2019,"Crime","Drama","Thriller",8.6,NA,NA,"Jonathan Groff","Holt McCallany"," Anna Torv","Hannah Gross",235694,60,NA
"avatar: the last airbender",2005,2008,"Animation","Action","Adventure",9.3,NA,NA,"Dee Bradley Baker","Zach Tyler"," Mae Whitman","Jack De Sena",265845,23,NA
"star trek: voyager",1995,2001,"Action","Adventure","Sci-Fi",7.8,NA,NA,"Kate Mulgrew","Robert Beltran"," Roxann Dawson","Robert Duncan McNeill",61917,44,NA
"the departed",2006,NA,"Crime","Drama","Thriller",8.5,"Martin Scorsese",NA,"Leonardo DiCaprio","Matt Damon"," Jack Nicholson","Mark Wahlberg",1227522,151,132.38
"narcos",2015,2017,"Biography","Crime","Drama",8.8,NA,NA,"Pedro Pascal","Lizbeth Eden"," Wagner Moura","Boyd Holbrook",375261,49,NA
"the serpent",2021,NA,"Crime","Drama","Thriller",7.6,NA,NA,"Tahar Rahim","Billy Howle"," Jenna Coleman","Ellie Bamber",33936,58,NA
"star wars: the clone wars",2008,2020,"Animation","Action","Adventure",8.3,NA,NA,"Tom Kane","Dee Bradley Baker"," Matt Lanter","James Arnold Taylor",71904,23,NA
"murder, she wrote",1984,1996,"Crime","Drama","Mystery",7,NA,NA,"Angela Lansbury","William Windom"," Ron Masak","Louis Herthum",20330,50,NA
"fatherhood",2021,NA,"Comedy","Drama",NA,6.7,"Paul Weitz",NA,"Kevin Hart","Alfre Woodard"," Lil Rel Howery","DeWanda Wise",26508,109,NA
"blue bloods",2010,NA,"Crime","Drama","Mystery",7.6,NA,NA,"Donnie Wahlberg","Bridget Moynahan"," Will Estes","Len Cariou",34064,43,NA
"heist",2021,NA,"Documentary","Crime","Mystery",6.8,NA,NA,"William Guirola","Megan Barlow"," Scott Bender","Jonny Carlson",846,41,NA
"black summer",2019,NA,"Action","Drama","Horror",6.5,NA,NA,"Jaime King","Justin Chu Cary"," Christine Lee","Zoe Marlett",25453,40,NA
"katla",2021,NA,"Drama","Mystery","Sci-Fi",7.1,NA,NA,"Guðrún Ýr Eyfjörð","Íris Tanja Flygenring"," Ingvar Sigurdsson","Aliette Opheim",8391,NA,NA
"house of cards",2013,2018,"Drama",NA,NA,8.7,NA,NA,"Kevin Spacey","Michel Gill"," Robin Wright","Kate Mara",476656,51,NA
"miraculous: tales of ladybug & cat noir",2015,NA,"Animation","Action","Adventure",7.7,NA,NA,"Cristina Valenzuela","Bryce Papenbrook"," Keith Silverstein","Mela Lee",8300,20,NA
"demon slayer: kimetsu no yaiba",2019,NA,"Animation","Action","Fantasy",8.7,NA,NA,"Natsuki Hanae","Zach Aguilar"," Abby Trott","Akari Kitô",46259,25,NA
"jane the virgin",2014,2019,"Comedy",NA,NA,7.8,NA,NA,"Gina Rodriguez","Andrea Navedo"," Yael Grobglas","Justin Baldoni",41758,60,NA
"the good wife",2009,2016,"Crime","Drama","Mystery",8.3,NA,NA,"Julianna Margulies","Chris Noth"," Josh Charles","Matt Czuchry",70021,43,NA
"the good place",2016,2020,"Comedy","Drama","Fantasy",8.2,NA,NA,"Kristen Bell","William Jackson Harper"," Jameela Jamil","D'Arcy Carden",127417,22,NA
"the americans",2013,2018,"Crime","Drama","Mystery",8.4,NA,NA,"Keri Russell","Matthew Rhys"," Keidrich Sellati","Holly Taylor",88962,44,NA
"glee",2009,2015,"Comedy","Drama","Music",6.7,NA,NA,"Lea Michele","Jane Lynch"," Matthew Morrison","Cory Monteith",139934,44,NA
"castlevania",2017,2021,"Animation","Action","Adventure",8.3,NA,NA,"Richard Armitage","James Callis"," Alejandra Reynoso","Theo James",51802,23,NA
"dawson's creek",1998,2003,"Drama","Romance",NA,6.6,NA,NA,"James Van Der Beek","Katie Holmes"," Michelle Williams","Joshua Jackson",38117,60,NA
"it",2017,NA,"Horror",NA,NA,7.3,"Andy Muschietti",NA,"Bill Skarsgård","Jaeden Martell"," Finn Wolfhard","Sophia Lillis",480607,135,327.48
"pretty little liars",2010,2017,"Drama","Mystery","Romance",7.4,NA,NA,"Troian Bellisario","Ashley Benson"," Lucy Hale","Shay Mitchell",155875,44,NA
"star trek",1966,1969,"Action","Adventure","Sci-Fi",8.3,NA,NA,"William Shatner","Leonard Nimoy"," DeForest Kelley","Nichelle Nichols",76213,50,NA
"archer",2009,NA,"Animation","Action","Comedy",8.6,NA,NA,"H. Jon Benjamin","Judy Greer"," Amber Nash","Chris Parnell",141784,22,NA
"twin peaks",1990,1991,"Crime","Drama","Mystery",8.8,NA,NA,"Kyle MacLachlan","Michael Ontkean"," Mädchen Amick","Dana Ashbrook",182173,47,NA
"the bold type",2017,2021,"Comedy","Drama",NA,7.9,NA,NA,"Katie Stevens","Aisha Dee"," Meghann Fahy","Melora Hardin",16183,45,NA
"love, death & robots",2019,NA,"Animation","Short","Comedy",8.5,NA,NA,"Scott Whyte","Nolan North"," Steven Pacey","Emily O'Brien",120364,15,NA
"clueless",1995,NA,"Comedy","Romance",NA,6.8,"Amy Heckerling",NA,"Alicia Silverstone","Stacey Dash"," Brittany Murphy","Paul Rudd",194461,97,56.63
"ray donovan",2013,2020,"Crime","Drama",NA,8.3,NA,NA,"Liev Schreiber","Eddie Marsan"," Dash Mihok","Pooch Hall",79618,60,NA
"baywatch",2017,NA,"Action","Comedy","Crime",5.5,"Seth Gordon",NA,"Dwayne Johnson","Zac Efron"," Alexandra Daddario","Priyanka Chopra Jonas",170844,116,58.06
"snowpiercer",2020,NA,"Action","Drama","Sci-Fi",6.9,NA,NA,"Daveed Diggs","Iddo Goldberg"," Mickey Sumner","Alison Wright",39433,60,NA
"workin' moms",2017,NA,"Comedy",NA,NA,7.7,NA,NA,"Catherine Reitman","Dani Kind"," Juno Rinaldi","Philip Sternberg",12896,30,NA
"broadchurch",2013,2017,"Crime","Drama","Mystery",8.4,NA,NA,"David Tennant","Olivia Colman"," Jodie Whittaker","Andrew Buchan",100611,48,NA
"l.a.'s finest",2019,2020,"Action","Comedy","Crime",6,NA,NA,"Jessica Alba","Gabrielle Union"," Duane Martin","Zach Gilford",5667,60,NA
"too hot to handle",2020,NA,"Game-Show","Reality-TV","Romance",4.6,NA,NA,"Desiree Burch","Marvin Anthony"," Chase de Moor","Cam Holmes",10008,40,NA
"hannibal",2013,2015,"Crime","Drama","Horror",8.5,NA,NA,"Hugh Dancy","Mads Mikkelsen"," Caroline Dhavernas","Laurence Fishburne",236161,44,NA
"longmire",2012,2017,"Action","Crime","Drama",8.3,NA,NA,"Robert Taylor","Katee Sackhoff"," Lou Diamond Phillips","Cassidy Freeman",30685,60,NA
"the fall",2013,2016,"Crime","Drama","Thriller",8.1,NA,NA,"Gillian Anderson","Jamie Dornan"," John Lynch","Aisling Franciosi",89590,60,NA
"jujutsu kaisen",2020,NA,"Animation","Action","Adventure",8.7,NA,NA,"Junya Enoki","Adam McArthur"," Yûichi Nakamura","Yuma Uchida",25386,24,NA
"dynasty",2017,NA,"Drama",NA,NA,7.3,NA,NA,"Elizabeth Gillies","Rafael de la Fuente"," Robert Christopher Riley","Sam Adegoke",16666,42,NA
"spider-man",2002,NA,"Action","Adventure","Sci-Fi",7.3,"Sam Raimi",NA,"Tobey Maguire","Kirsten Dunst"," Willem Dafoe","James Franco",709684,121,403.71
"awake",2021,NA,"Action","Adventure","Drama",4.8,"Mark Raso",NA,"Gina Rodriguez","Ariana Greenblatt"," Lucius Hoyos","Shamier Anderson",16262,96,NA
"the haunting of hill house",2018,NA,"Drama","Horror","Mystery",8.6,NA,NA,"Michiel Huisman","Carla Gugino"," Henry Thomas","Elizabeth Reaser",195117,572,NA
"ncis: los angeles",2009,NA,"Action","Crime","Drama",6.7,NA,NA,"Chris O'Donnell","Daniela Ruah"," Barrett Foa","LL Cool J",49943,43,NA
"taxi driver",1976,NA,"Crime","Drama",NA,8.2,"Martin Scorsese",NA,"Robert De Niro","Jodie Foster"," Cybill Shepherd","Albert Brooks",752553,114,28.26
"the movies that made us",2019,NA,"Documentary",NA,NA,7.8,NA,NA,"Donald Ian Black","Danny Wallace"," Jennifer Julian","Frank Price",3653,45,NA
"ragnarok",2020,NA,"Action","Drama","Fantasy",7.5,NA,NA,"David Stakston","Jonas Strand Gravli"," Herman Tømmeraas","Theresa Frostad Eggesbø",31200,45,NA
"the king",2019,NA,"Biography","Drama","History",7.2,"David Michôd",NA,"Tom Glynn-Carney","Gábor Czap"," Tom Fisher","Edward Ashley",97848,140,NA
"ginny & georgia",2021,NA,"Comedy","Drama",NA,7.5,NA,NA,"Brianne Howey","Antonia Gentry"," Diesel La Torraca","Jennifer Robertson",35247,NA,NA
"jupiter's legacy",2021,NA,"Action","Adventure","Drama",6.7,NA,NA,"Josh Duhamel","Ben Daniels"," Leslie Bibb","Andrew Horton",31953,56,NA
"designated survivor",2016,2019,"Action","Drama","Mystery",7.5,NA,NA,"Kiefer Sutherland","Adan Canto"," Italia Ricci","Kal Penn",81326,60,NA
"white collar",2009,2014,"Comedy","Crime","Drama",8.2,NA,NA,"Matt Bomer","Tim DeKay"," Willie Garson","Tiffani Thiessen",122230,40,NA
"dirty john",2018,NA,"Crime","Drama",NA,7.2,NA,NA,"Connie Britton","Christian Slater"," Eric Bana","Amanda Peet",18088,44,NA
"the killing",2011,2014,"Crime","Drama","Mystery",8.2,NA,NA,"Mireille Enos","Joel Kinnaman"," Billy Campbell","Liam James",102312,45,NA
"skins",2007,2013,"Drama",NA,NA,8.2,NA,NA,"Kaya Scodelario","Nicholas Hoult"," Joe Dempsie","Hannah Murray",77286,46,NA
"naruto",2002,2007,"Animation","Action","Adventure",8.3,NA,NA,"Junko Takeuchi","Maile Flanagan"," Kate Higgins","Chie Nakamura",79832,24,NA
"black sails",2014,2017,"Adventure","Drama",NA,8.2,NA,NA,"Jessica Parker Kennedy","Toby Stephens"," Hannah New","Zach McGowan",96550,56,NA
"run",2020,NA,"Mystery","Thriller",NA,6.7,"Aneesh Chaganty",NA,"Sarah Paulson","Kiera Allen"," Sara Sohn","Pat Healy",55389,90,NA
"orphan black",2013,2017,"Action","Drama","Sci-Fi",8.3,NA,NA,"Tatiana Maslany","Dylan Bruce"," Jordan Gavaris","Kevin Hanchard",104501,44,NA
"grimm",2011,2017,"Crime","Drama","Fantasy",7.8,NA,NA,"David Giuntoli","Russell Hornsby"," Silas Weir Mitchell","Sasha Roiz",111716,45,NA
"luther",2010,2019,"Crime","Drama","Mystery",8.4,NA,NA,"Idris Elba","Dermot Crowley"," Michael Smiley","Warren Brown",125749,60,NA
"sexy beasts",2021,NA,"Reality-TV","Romance",NA,4.7,NA,NA,"Star: Rob Delaney",NA,NA,NA,592,NA,NA
"red notice",2021,NA,"Action","Comedy","Crime",NA,"Rawson Marshall Thurber",NA,"Dwayne Johnson","Ryan Reynolds"," Gal Gadot","Ritu Arya",NA,NA,NA
"murdoch mysteries",2008,NA,"Crime","Drama","Mystery",8.1,NA,NA,"Yannick Bisson","Helene Joy"," Thomas Craig","Jonny Harris",11437,48,NA
"resident evil: infinite darkness",2021,NA,"Animation","Action","Horror",5.8,NA,NA,"Nick Apostolides","Bill Butts"," Kellen Goff","Stephanie Panisello",7128,26,NA
"reign",2013,2017,"Drama","Fantasy",NA,7.5,NA,NA,"Adelaide Kane","Megan Follows"," Celina Sinden","Torrance Coombs",45045,42,NA
"elementary",2012,2019,"Crime","Drama","Mystery",7.9,NA,NA,"Jonny Lee Miller","Lucy Liu"," Aidan Quinn","Jon Michael Hill",103707,60,NA
"the missing",2014,2016,"Crime","Drama","Mystery",8.2,NA,NA,"Tchéky Karyo","Anastasia Hille"," David Morrissey","Keeley Hawes",23317,60,NA
