"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"blood & water",2020,NA,"Drama","Mystery",NA,7.9,"Daryne Joshua",NA,"Ama Qamata","Khosi Ngema"," Gail Mabalane","Thabang Molaba",63,49,NA
"blood & water",2020,NA,"Drama","Mystery",NA,7.6,"Daryne Joshua",NA,"Ama Qamata","Gail Mabalane"," Khosi Ngema","Thabang Molaba",61,53,NA
"blood & water",2020,NA,"Drama","Mystery",NA,7.7,"Nosipho Dumisa",NA,"Ama Qamata","Khosi Ngema"," Gail Mabalane","Thabang Molaba",65,51,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",6.9,"Søren Balle",NA,"Danica Curcic","Lars Brygmann"," Karoline Hamm","Hanne Hedelund",267,46,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",6.9,"Søren Balle",NA,"Danica Curcic","Lars Brygmann"," Karoline Hamm","Hanne Hedelund",232,46,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",6.9,"Søren Balle",NA,"Danica Curcic","Lars Brygmann"," Karoline Hamm","Hanne Hedelund",218,52,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",7,"Søren Balle",NA,"Danica Curcic","Lars Brygmann"," Karoline Hamm","Hanne Hedelund",208,43,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",6.9,"Mads Matthiesen",NA,"Danica Curcic","Karoline Hamm"," Lars Brygmann","Viola Martinsen",204,41,NA
"equinox",2020,NA,"Drama","Fantasy","Mystery",6.2,"Mads Matthiesen",NA,"Danica Curcic","Karoline Hamm"," Lars Brygmann","Hanne Hedelund",230,42,NA
"lupin",2021,NA,"Action","Crime","Drama",7.8,"Louis Leterrier",NA,"Omar Sy","Ludivine Sagnier"," Clotilde Hesme","Nicole Garcia",2653,52,NA
"lupin",2021,NA,"Action","Crime","Drama",7.6,"Louis Leterrier",NA,"Omar Sy","Ludivine Sagnier"," Nicole Garcia","Hervé Pierre",2428,42,NA
"fauda",2015,NA,"Action","Drama","Thriller",8.2,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",310,50,NA
"the boondocks",2005,2014,"Animation","Action","Comedy",7.7,"Dan Fausett","
Bob Hathcock","Regina King","John Witherspoon"," Cedric Yarbrough","Gary Anthony Williams",208,22,NA
"dynasty",2017,NA,"Drama",NA,NA,8.2,"Pascal Verschooris",NA,"Elizabeth Gillies","Daniella Alonso"," Elaine Hendrix","Rafael de la Fuente",197,42,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.4,"Micah Gunnell",NA,"Aravindhan","Tyler Posey"," Charlet Takahashi Chung","Jorge Diaz",84,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.6,"James Yang",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",76,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.5,"Leo Riley",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",70,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.8,"Micah Gunnell",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",69,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.8,"James Yang",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",69,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.8,"Leo Riley",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",69,NA,NA
"fast & furious spy racers",2019,NA,"Animation","Action","Crime",7.8,"Micah Gunnell",NA,"Tyler Posey","Charlet Takahashi Chung"," Jorge Diaz","Camille Ramsey",74,NA,NA
"fauda",2015,NA,"Action","Drama","Thriller",8.3,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",272,50,NA
"black lightning",2017,2021,"Action","Drama","Sci-Fi",7,"Eric Laneuville",NA,"Cress Williams","China Anne McClain"," Nafessa Williams","Christine Adams",309,40,NA
"johnny test",2005,NA,"Animation","Action","Adventure",6.1,"Larry Jacobs",NA,"James Arnold Taylor","Louis Chirillo"," Maryke Hendrikse","Ashleigh Ball",29,22,NA
"hit and run",2021,NA,"Action","Crime","Drama",NA,"Mike Barker",NA,"Lior Raz","Gregg Henry"," Kaelen Ohm","Alex Morf",NA,NA,NA
"hit and run",2021,NA,"Action","Crime","Drama",NA,"Rotem Shamir",NA,"Lior Raz","Sanaa Lathan"," Gregg Henry","Kaelen Ohm",NA,NA,NA
"the a list",2018,NA,"Crime","Drama","Mystery",8.3,"Neil J. Wilkinson",NA,"Lisa Ambalavanar","Ellie Duckles"," Rosie Dwyer","Savannah Baker",35,28,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.3,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",158,49,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.7,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",155,44,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.6,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",151,46,NA
"johnny test",2005,NA,"Animation","Action","Adventure",5.7,"Larry Jacobs",NA,"James Arnold Taylor","Louis Chirillo"," Maryke Hendrikse","Ashleigh Ball",21,23,NA
"fauda",2015,NA,"Action","Drama","Thriller",8.3,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",257,44,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.3,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",136,48,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,7.9,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Karyn Blanco","Sammie Cimarelli",141,45,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,8,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Sammie Cimarelli","Bill Cranley",140,53,NA
"the circle",2020,NA,"Game-Show","Reality-TV",NA,8.1,NA,NA,"Michelle Buteau","Miranda Bissonnette"," Sammie Cimarelli","Bill Cranley",155,48,NA
"hit and run",2021,NA,"Action","Crime","Drama",NA,"Mike Barker",NA,"Lior Raz","Tom Scorzone"," Sanaa Lathan","Gregg Henry",NA,NA,NA
"the last kingdom",2015,NA,"Action","Drama","History",8.9,"David Moore",NA,"Emily Cox","Millie Brady"," Helena Albright","Alexander Dreymon",1765,50,NA
"the last kingdom",2015,NA,"Action","Drama","History",8.9,"David Moore",NA,"Cavan Clerkin","Timothy Innes"," Eliza Butterworth","Alexander Dreymon",1761,52,NA
"fauda",2015,NA,"Action","Drama","Thriller",8.1,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",248,40,NA
